dataset,approach,beta,iters,id,rank
wiki_chti,rdd,0.85,5,Picardie,0.02279668155281027
wiki_chti,rdd,0.85,5,Nord-Pas-Calés,0.020156880489852286
wiki_chti,rdd,0.85,5,Sonme,0.019616917448813453
wiki_chti,rdd,0.85,5,Pas-Calés,0.017161693187472373
wiki_chti,rdd,0.85,5,Anmyin,0.011923357003184651
wiki_chti,rdd,0.85,5,Nord-Pas-d'Caleus,0.011080903887818403
wiki_chti,rdd,0.85,5,Pas-d'Caleus,0.01043149698461672
wiki_chti,rdd,0.85,5,Urope,0.010280271203363278
wiki_chti,rdd,0.85,5,Anmien,0.010086502318042008
wiki_chti,rdd,0.85,5,Bergike,0.009426636091289034
wiki_chti,rdd,0.85,5,Franche,0.009312156869597238
wiki_chti,rdd,0.85,5,Aro,0.008606755032048847
wiki_chti,rdd,0.85,5,Nord,0.008136720951323706
wiki_chti,rdd,0.85,5,Frinsé,0.005774294623957402
wiki_chti,rdd,0.85,5,Advile,0.005478802365318047
wiki_chti,rdd,0.85,5,Italie,0.005033372759123653
wiki_chti,rdd,0.85,5,Étots-Unis,0.00497104078687489
wiki_chti,rdd,0.85,5,Nirlindé,0.004931032697801135
wiki_chti,rdd,0.85,5,Alemanne,0.004480831272615126
wiki_chti,rdd,0.85,5,Paris,0.004414651015135839
wiki_chti,dataframe,0.85,5,Picardie,0.02286845166322273
wiki_chti,dataframe,0.85,5,Nord-Pas-Calés,0.020179735117115263
wiki_chti,dataframe,0.85,5,Sonme,0.019673401443892326
wiki_chti,dataframe,0.85,5,Pas-Calés,0.017166246015250686
wiki_chti,dataframe,0.85,5,Anmyin,0.011962035836535762
wiki_chti,dataframe,0.85,5,Nord-Pas-d'Caleus,0.011119966205016303
wiki_chti,dataframe,0.85,5,Pas-d'Caleus,0.010467960789884123
wiki_chti,dataframe,0.85,5,Urope,0.010331353831085166
wiki_chti,dataframe,0.85,5,Anmien,0.010117818278657393
wiki_chti,dataframe,0.85,5,Bergike,0.00947574452092815
wiki_chti,dataframe,0.85,5,Franche,0.009355677695722977
wiki_chti,dataframe,0.85,5,Aro,0.00863703341484773
wiki_chti,dataframe,0.85,5,Nord,0.008167764968706215
wiki_chti,dataframe,0.85,5,Frinsé,0.005799021764396987
wiki_chti,dataframe,0.85,5,Advile,0.0054954879471884426
wiki_chti,dataframe,0.85,5,Italie,0.005057653480112006
wiki_chti,dataframe,0.85,5,Étots-Unis,0.004992377763067852
wiki_chti,dataframe,0.85,5,Nirlindé,0.0049555707919592094
wiki_chti,dataframe,0.85,5,Alemanne,0.004500916435316411
wiki_chti,dataframe,0.85,5,Paris,0.004437080184877365
wiki_basque,dataframe,0.85,5,Kilometro,0.006572136922216242
wiki_basque,dataframe,0.85,5,Frantzia,0.005962173452278256
wiki_basque,dataframe,0.85,5,2009,0.004714696222368252
wiki_basque,dataframe,0.85,5,Animalia,0.004099918067786054
wiki_basque,dataframe,0.85,5,2013,0.003730771686528143
wiki_basque,dataframe,0.85,5,Alemania,0.0034472206636443526
wiki_basque,dataframe,0.85,5,INSEE,0.003383846291690867
wiki_basque,dataframe,0.85,5,Biztanleria-piramide,0.0033239790072151056
wiki_basque,dataframe,0.85,5,Estatu,0.0030732851384160263
wiki_basque,dataframe,0.85,5,Mediana,0.0029307329022091617
wiki_basque,dataframe,0.85,5,Ameriketako,0.0027334148429197357
wiki_basque,dataframe,0.85,5,Italia,0.0023540047733227403
wiki_basque,dataframe,0.85,5,Urtarrilaren,0.0020077479741879346
wiki_basque,dataframe,0.85,5,Arrain,0.0019643700407282216
wiki_basque,dataframe,0.85,5,1,0.001960880486606329
wiki_basque,dataframe,0.85,5,Euskal,0.0017944785560993527
wiki_basque,dataframe,0.85,5,Euskara,0.0016923397148882137
wiki_basque,dataframe,0.85,5,Italiako,0.001551593817512097
wiki_basque,dataframe,0.85,5,Ipar,0.0015017855723112265
wiki_basque,dataframe,0.85,5,Errepublika,0.001437669883882649
wiki_pt,rdd,0.85,5,Quilómetro,0.0034854645671061214
wiki_pt,rdd,0.85,5,Língua,0.003443377718471043
wiki_pt,rdd,0.85,5,Lista,0.0034243957921653067
wiki_pt,rdd,0.85,5,Comuna,0.002648581965806905
wiki_pt,rdd,0.85,5,Regiões,0.0023927938031885997
wiki_pt,rdd,0.85,5,Departamentos,0.0023149416702652743
wiki_pt,rdd,0.85,5,Estados,0.0021793571555327696
wiki_pt,rdd,0.85,5,Rio,0.001906103726527662
wiki_pt,rdd,0.85,5,Brasil,0.0017355086363413563
wiki_pt,rdd,0.85,5,Unidos,0.0015940158766292387
wiki_pt,rdd,0.85,5,Censo,0.001318612635388433
wiki_pt,rdd,0.85,5,Alemanha,0.0012611555752673868
wiki_pt,rdd,0.85,5,Cidade,0.0012226545050909377
wiki_pt,rdd,0.85,5,União,0.0012170362665143394
wiki_pt,rdd,0.85,5,Família,0.0011816842455172792
wiki_pt,rdd,0.85,5,Densidade,0.001106781293341239
wiki_pt,rdd,0.85,5,Sistema,0.00109640912093306
wiki_pt,rdd,0.85,5,América,0.001078469059233599
wiki_pt,rdd,0.85,5,Animalia,0.0010686552823697478
wiki_pt,rdd,0.85,5,São,0.0010552412068768966
wiki_pt,rdd_partitioned,0.85,5,Quilómetro,0.0034854645671057467
wiki_pt,rdd_partitioned,0.85,5,Língua,0.0034433777184707175
wiki_pt,rdd_partitioned,0.85,5,Lista,0.0034243957921649844
wiki_pt,rdd_partitioned,0.85,5,Comuna,0.002648581965806616
wiki_pt,rdd_partitioned,0.85,5,Regiões,0.0023927938031883277
wiki_pt,rdd_partitioned,0.85,5,Departamentos,0.0023149416702650132
wiki_pt,rdd_partitioned,0.85,5,Estados,0.0021793571555325697
wiki_pt,rdd_partitioned,0.85,5,Rio,0.0019061037265274815
wiki_pt,rdd_partitioned,0.85,5,Brasil,0.0017355086363411946
wiki_pt,rdd_partitioned,0.85,5,Unidos,0.0015940158766290942
wiki_pt,rdd_partitioned,0.85,5,Censo,0.0013186126353883101
wiki_pt,rdd_partitioned,0.85,5,Alemanha,0.001261155575267269
wiki_pt,rdd_partitioned,0.85,5,Cidade,0.00122265450509082
wiki_pt,rdd_partitioned,0.85,5,União,0.0012170362665142299
wiki_pt,rdd_partitioned,0.85,5,Família,0.001181684245517166
wiki_pt,rdd_partitioned,0.85,5,Densidade,0.0011067812933411303
wiki_pt,rdd_partitioned,0.85,5,Sistema,0.0010964091209329488
wiki_pt,rdd_partitioned,0.85,5,América,0.0010784690592335012
wiki_pt,rdd_partitioned,0.85,5,Animalia,0.0010686552823696402
wiki_pt,rdd_partitioned,0.85,5,São,0.001055241206876801
wiki_breton,dataframe,0.85,5,Yezhoù,0.004539137789233013
wiki_breton,dataframe,0.85,5,Bro-C'hall,0.0038665821683114905
wiki_breton,dataframe,0.85,5,Breizh,0.003494240900556381
wiki_breton,dataframe,0.85,5,Amerika,0.003112269247644067
wiki_breton,dataframe,0.85,5,Du,0.0030475694534697244
wiki_breton,dataframe,0.85,5,Genver,0.0029984668047471565
wiki_breton,dataframe,0.85,5,Here,0.0029649258145273485
wiki_breton,dataframe,0.85,5,Gouere,0.002949342268530204
wiki_breton,dataframe,0.85,5,Europa,0.002881553318314561
wiki_breton,dataframe,0.85,5,Meurzh,0.0028684056660393887
wiki_breton,dataframe,0.85,5,Eost,0.0028673463808242474
wiki_breton,dataframe,0.85,5,Kerzu,0.0028267619355653298
wiki_breton,dataframe,0.85,5,Gwengolo,0.0027776114881483444
wiki_breton,dataframe,0.85,5,Mae,0.0027575853494824286
wiki_breton,dataframe,0.85,5,Arondisamant,0.002752047802290145
wiki_breton,dataframe,0.85,5,Republik,0.002750535162263397
wiki_breton,dataframe,0.85,5,Mezheven,0.0027501754773908075
wiki_breton,dataframe,0.85,5,Ebrel,0.0027087573775113408
wiki_breton,dataframe,0.85,5,Bloavezhioù,0.002686398361740348
wiki_breton,dataframe,0.85,5,Deiziadur,0.0026137757144872264
wiki_breton,rdd,0.85,5,Yezhoù,0.00453833653886887
wiki_breton,rdd,0.85,5,Bro-C'hall,0.0038660579987601675
wiki_breton,rdd,0.85,5,Breizh,0.0034936390226004105
wiki_breton,rdd,0.85,5,Amerika,0.0031117548431482595
wiki_breton,rdd,0.85,5,Du,0.0030470476479889388
wiki_breton,rdd,0.85,5,Genver,0.002997947751572438
wiki_breton,rdd,0.85,5,Here,0.002964416767519074
wiki_breton,rdd,0.85,5,Gouere,0.002948831039475877
wiki_breton,rdd,0.85,5,Europa,0.0028811028009428628
wiki_breton,rdd,0.85,5,Meurzh,0.002867905941017965
wiki_breton,rdd,0.85,5,Eost,0.0028668501606828674
wiki_breton,rdd,0.85,5,Kerzu,0.0028262618917832562
wiki_breton,rdd,0.85,5,Gwengolo,0.002777127479448975
wiki_breton,rdd,0.85,5,Mae,0.0027571047019826138
wiki_breton,rdd,0.85,5,Arondisamant,0.0027516527165236887
wiki_breton,rdd,0.85,5,Republik,0.0027500932358431557
wiki_breton,rdd,0.85,5,Mezheven,0.0027496951159693816
wiki_breton,rdd,0.85,5,Ebrel,0.0027082838534056354
wiki_breton,rdd,0.85,5,Bloavezhioù,0.002685926333242775
wiki_breton,rdd,0.85,5,Deiziadur,0.002613323807615212
wiki_fr,dataframe,0.85,5,Liste,0.0037621645551896956
wiki_fr,dataframe,0.85,5,Arrondissement,0.001641096692800849
wiki_fr,dataframe,0.85,5,France,0.001599240509607056
wiki_fr,dataframe,0.85,5,Région,0.001535596638930152
wiki_fr,dataframe,0.85,5,La,0.0014508704698388483
wiki_fr,dataframe,0.85,5,District,0.0014481729646702599
wiki_fr,dataframe,0.85,5,Commune,0.001416351706813911
wiki_fr,dataframe,0.85,5,Le,0.0013607272231964916
wiki_fr,dataframe,0.85,5,Famille,0.0012464803385638754
wiki_fr,dataframe,0.85,5,États-Unis,0.0011393802054658444
wiki_fr,dataframe,0.85,5,Province,0.001037483024170952
wiki_fr,dataframe,0.85,5,Canton,0.0010060550493989281
wiki_fr,dataframe,0.85,5,République,0.0010047552334196915
wiki_fr,dataframe,0.85,5,Jean,9.525186222050695E-4
wiki_fr,dataframe,0.85,5,Guerre,9.437325265955406E-4
wiki_fr,dataframe,0.85,5,Comté,9.36009411818321E-4
wiki_fr,dataframe,0.85,5,2014,9.091583290172327E-4
wiki_fr,dataframe,0.85,5,Pierre,8.907749773172102E-4
wiki_fr,dataframe,0.85,5,Communauté,8.736936586332192E-4
wiki_fr,dataframe,0.85,5,Allemagne,8.617989314969782E-4
wiki_breton,rdd_partitioned,0.85,5,Yezhoù,0.004538336538868737
wiki_breton,rdd_partitioned,0.85,5,Bro-C'hall,0.003866057998760103
wiki_breton,rdd_partitioned,0.85,5,Breizh,0.0034936390226003463
wiki_breton,rdd_partitioned,0.85,5,Amerika,0.0031117548431482058
wiki_breton,rdd_partitioned,0.85,5,Du,0.0030470476479888876
wiki_breton,rdd_partitioned,0.85,5,Genver,0.002997947751572391
wiki_breton,rdd_partitioned,0.85,5,Here,0.002964416767519023
wiki_breton,rdd_partitioned,0.85,5,Gouere,0.002948831039475829
wiki_breton,rdd_partitioned,0.85,5,Europa,0.0028811028009428164
wiki_breton,rdd_partitioned,0.85,5,Meurzh,0.0028679059410179164
wiki_breton,rdd_partitioned,0.85,5,Eost,0.0028668501606828206
wiki_breton,rdd_partitioned,0.85,5,Kerzu,0.00282626189178321
wiki_breton,rdd_partitioned,0.85,5,Gwengolo,0.00277712747944893
wiki_breton,rdd_partitioned,0.85,5,Mae,0.0027571047019825656
wiki_breton,rdd_partitioned,0.85,5,Arondisamant,0.0027516527165236415
wiki_breton,rdd_partitioned,0.85,5,Republik,0.0027500932358431062
wiki_breton,rdd_partitioned,0.85,5,Mezheven,0.0027496951159693356
wiki_breton,rdd_partitioned,0.85,5,Ebrel,0.0027082838534055907
wiki_breton,rdd_partitioned,0.85,5,Bloavezhioù,0.0026859263332427276
wiki_breton,rdd_partitioned,0.85,5,Deiziadur,0.0026133238076151673
wiki_chti,rdd_partitioned,0.85,5,Picardie,0.022796681552810547
wiki_chti,rdd_partitioned,0.85,5,Nord-Pas-Calés,0.02015688048985247
wiki_chti,rdd_partitioned,0.85,5,Sonme,0.019616917448813703
wiki_chti,rdd_partitioned,0.85,5,Pas-Calés,0.017161693187472533
wiki_chti,rdd_partitioned,0.85,5,Anmyin,0.011923357003184741
wiki_chti,rdd_partitioned,0.85,5,Nord-Pas-d'Caleus,0.01108090388781857
wiki_chti,rdd_partitioned,0.85,5,Pas-d'Caleus,0.010431496984616883
wiki_chti,rdd_partitioned,0.85,5,Urope,0.010280271203363351
wiki_chti,rdd_partitioned,0.85,5,Anmien,0.010086502318042125
wiki_chti,rdd_partitioned,0.85,5,Bergike,0.009426636091289096
wiki_chti,rdd_partitioned,0.85,5,Franche,0.009312156869597299
wiki_chti,rdd_partitioned,0.85,5,Aro,0.008606755032048928
wiki_chti,rdd_partitioned,0.85,5,Nord,0.008136720951323758
wiki_chti,rdd_partitioned,0.85,5,Frinsé,0.005774294623957443
wiki_chti,rdd_partitioned,0.85,5,Advile,0.005478802365318107
wiki_chti,rdd_partitioned,0.85,5,Italie,0.0050333727591236966
wiki_chti,rdd_partitioned,0.85,5,Étots-Unis,0.004971040786874931
wiki_chti,rdd_partitioned,0.85,5,Nirlindé,0.004931032697801164
wiki_chti,rdd_partitioned,0.85,5,Alemanne,0.004480831272615163
wiki_chti,rdd_partitioned,0.85,5,Paris,0.0044146510151358695
wiki_basque,rdd_partitioned,0.85,5,Kilometro,0.006571491439189678
wiki_basque,rdd_partitioned,0.85,5,Frantzia,0.005961753666620641
wiki_basque,rdd_partitioned,0.85,5,2009,0.0047143748782625125
wiki_basque,rdd_partitioned,0.85,5,Animalia,0.004099416329134855
wiki_basque,rdd_partitioned,0.85,5,2013,0.0037305358955657167
wiki_basque,rdd_partitioned,0.85,5,Alemania,0.0034468865363930126
wiki_basque,rdd_partitioned,0.85,5,INSEE,0.003383664983514616
wiki_basque,rdd_partitioned,0.85,5,Biztanleria-piramide,0.0033238031834434004
wiki_basque,rdd_partitioned,0.85,5,Estatu,0.0030729375898264602
wiki_basque,rdd_partitioned,0.85,5,Mediana,0.0029305759524181044
wiki_basque,rdd_partitioned,0.85,5,Ameriketako,0.002733108352057274
wiki_basque,rdd_partitioned,0.85,5,Italia,0.0023537748835475557
wiki_basque,rdd_partitioned,0.85,5,Urtarrilaren,0.0020075316276991
wiki_basque,rdd_partitioned,0.85,5,Arrain,0.001964128239859414
wiki_basque,rdd_partitioned,0.85,5,1,0.001960671048592106
wiki_basque,rdd_partitioned,0.85,5,Euskal,0.0017942940431454274
wiki_basque,rdd_partitioned,0.85,5,Euskara,0.0016921377314116236
wiki_basque,rdd_partitioned,0.85,5,Italiako,0.0015514360996724767
wiki_basque,rdd_partitioned,0.85,5,Ipar,0.0015016386898794266
wiki_basque,rdd_partitioned,0.85,5,Errepublika,0.0014375239041331442
wiki_fr,rdd_partitioned,0.85,5,Liste,0.0037614344705480824
wiki_fr,rdd_partitioned,0.85,5,Arrondissement,0.001640821614045232
wiki_fr,rdd_partitioned,0.85,5,France,0.0015988890678195768
wiki_fr,rdd_partitioned,0.85,5,Région,0.0015353245177738219
wiki_fr,rdd_partitioned,0.85,5,La,0.001450548864839828
wiki_fr,rdd_partitioned,0.85,5,District,0.0014479145921058685
wiki_fr,rdd_partitioned,0.85,5,Commune,0.0014161118958896594
wiki_fr,rdd_partitioned,0.85,5,Le,0.001360426179444705
wiki_fr,rdd_partitioned,0.85,5,Famille,0.001246227221180445
wiki_fr,rdd_partitioned,0.85,5,États-Unis,0.0011391056876525036
wiki_fr,rdd_partitioned,0.85,5,Province,0.00103727923674604
wiki_fr,rdd_partitioned,0.85,5,Canton,0.0010058739189259152
wiki_fr,rdd_partitioned,0.85,5,République,0.0010045609530626544
wiki_fr,rdd_partitioned,0.85,5,Jean,9.522911850178142E-4
wiki_fr,rdd_partitioned,0.85,5,Guerre,9.435367416806747E-4
wiki_fr,rdd_partitioned,0.85,5,Comté,9.358211384783545E-4
wiki_fr,rdd_partitioned,0.85,5,2014,9.089810694364315E-4
wiki_fr,rdd_partitioned,0.85,5,Pierre,8.905622232217374E-4
wiki_fr,rdd_partitioned,0.85,5,Communauté,8.735385333249343E-4
wiki_fr,rdd_partitioned,0.85,5,Allemagne,8.616245796560585E-4
wiki_fr,rdd,0.85,5,Liste,0.0037614344705478313
wiki_fr,rdd,0.85,5,Arrondissement,0.001640821614045123
wiki_fr,rdd,0.85,5,France,0.0015988890678194732
wiki_fr,rdd,0.85,5,Région,0.0015353245177737204
wiki_fr,rdd,0.85,5,La,0.001450548864839735
wiki_fr,rdd,0.85,5,District,0.0014479145921057728
wiki_fr,rdd,0.85,5,Commune,0.001416111895889565
wiki_fr,rdd,0.85,5,Le,0.0013604261794446172
wiki_fr,rdd,0.85,5,Famille,0.0012462272211803621
wiki_fr,rdd,0.85,5,États-Unis,0.0011391056876524305
wiki_fr,rdd,0.85,5,Province,0.0010372792367459721
wiki_fr,rdd,0.85,5,Canton,0.0010058739189258484
wiki_fr,rdd,0.85,5,République,0.0010045609530625883
wiki_fr,rdd,0.85,5,Jean,9.522911850177533E-4
wiki_fr,rdd,0.85,5,Guerre,9.43536741680614E-4
wiki_fr,rdd,0.85,5,Comté,9.358211384782932E-4
wiki_fr,rdd,0.85,5,2014,9.089810694363719E-4
wiki_fr,rdd,0.85,5,Pierre,8.905622232216808E-4
wiki_fr,rdd,0.85,5,Communauté,8.735385333248766E-4
wiki_fr,rdd,0.85,5,Allemagne,8.616245796560021E-4
wiki_basque,rdd,0.85,5,Kilometro,0.006571491439186194
wiki_basque,rdd,0.85,5,Frantzia,0.005961753666617749
wiki_basque,rdd,0.85,5,2009,0.00471437487826023
wiki_basque,rdd,0.85,5,Animalia,0.004099416329132427
wiki_basque,rdd,0.85,5,2013,0.003730535895563916
wiki_basque,rdd,0.85,5,Alemania,0.003446886536390916
wiki_basque,rdd,0.85,5,INSEE,0.0033836649835129844
wiki_basque,rdd,0.85,5,Biztanleria-piramide,0.003323803183441797
wiki_basque,rdd,0.85,5,Estatu,0.0030729375898251045
wiki_basque,rdd,0.85,5,Mediana,0.002930575952416688
wiki_basque,rdd,0.85,5,Ameriketako,0.0027331083520560767
wiki_basque,rdd,0.85,5,Italia,0.0023537748835462426
wiki_basque,rdd,0.85,5,Urtarrilaren,0.0020075316276981212
wiki_basque,rdd,0.85,5,Arrain,0.001964128239858272
wiki_basque,rdd,0.85,5,1,0.0019606710485911526
wiki_basque,rdd,0.85,5,Euskal,0.0017942940431446273
wiki_basque,rdd,0.85,5,Euskara,0.0016921377314108518
wiki_basque,rdd,0.85,5,Italiako,0.0015514360996715798
wiki_basque,rdd,0.85,5,Ipar,0.0015016386898787277
wiki_basque,rdd,0.85,5,Errepublika,0.0014375239041324755
wiki_pt,dataframe,0.85,5,Quilómetro,0.0034860208091096264
wiki_pt,dataframe,0.85,5,Língua,0.003444030103410023
wiki_pt,dataframe,0.85,5,Lista,0.0034251092250474546
wiki_pt,dataframe,0.85,5,Comuna,0.002649081310460226
wiki_pt,dataframe,0.85,5,Regiões,0.002393193308085514
wiki_pt,dataframe,0.85,5,Departamentos,0.0023153154239605035
wiki_pt,dataframe,0.85,5,Estados,0.0021798566965111885
wiki_pt,dataframe,0.85,5,Rio,0.0019064665624802743
wiki_pt,dataframe,0.85,5,Brasil,0.0017359062319128044
wiki_pt,dataframe,0.85,5,Unidos,0.0015944049965854422
wiki_pt,dataframe,0.85,5,Censo,0.0013188579805448169
wiki_pt,dataframe,0.85,5,Alemanha,0.0012614256075464355
wiki_pt,dataframe,0.85,5,Cidade,0.0012228821970845785
wiki_pt,dataframe,0.85,5,União,0.0012173273107297692
wiki_pt,dataframe,0.85,5,Família,0.0011818929419207874
wiki_pt,dataframe,0.85,5,Densidade,0.001106912405728304
wiki_pt,dataframe,0.85,5,Sistema,0.001096552458747777
wiki_pt,dataframe,0.85,5,América,0.001078727929433614
wiki_pt,dataframe,0.85,5,Animalia,0.0010688020897447958
wiki_pt,dataframe,0.85,5,São,0.001055495452751609
